id,type,date,amount
1,Expense,2024-05-01,50.00
2,Income,2024-05-02,100.00
1,Expense,2024-05-03,75.00
3,Expense,2024-05-04,30.00
2,Income,2024-05-05,200.00
4,Expense,2024-05-06,20.00
3,Expense,2024-05-07,45.00
5,Income,2024-05-08,150.00
4,Expense,2024-05-09,60.00
6,Expense,2024-05-10,25.00
5,Income,2024-05-11,300.00
7,Expense,2024-05-12,40.00
6,Expense,2024-05-13,55.00
8,Income,2024-05-14,180.00
7,Expense,2024-05-15,70.00
9,Expense,2024-05-16,35.00
8,Income,2024-05-17,250.00
10,Expense,2024-05-18,80.00
9,Expense,2024-05-19,15.00
11,Income,2024-05-20,400.00
10,Expense,2024-05-21,90.00
12,Expense,2024-05-22,65.00
11,Income,2024-05-23,220.00
13,Expense,2024-05-24,10.00
12,Expense,2024-05-25,85.00
14,Income,2024-05-26,350.00
13,Expense,2024-05-27,95.00
15,Expense,2024-05-28,40.00
14,Income,2024-05-29,270.00
16,Expense,2024-05-30,50.00
15,Expense,2024-05-31,25.00
17,Income,2024-06-01,200.00
16,Expense,2024-06-02,60.00
18,Expense,2024-06-03,35.00
17,Income,2024-06-04,150.00
19,Expense,2024-06-05,70.00
18,Expense,2024-06-06,45.00
20,Income,2024-06-07,300.00
19,Expense,2024-06-08,80.00
21,Expense,2024-06-09,15.00
20,Income,2024-06-10,400.00
22,Expense,2024-06-11,90.00
21,Expense,2024-06-12,65.00
23,Income,2024-06-13,220.00
22,Expense,2024-06-14,10.00
24,Expense,2024-06-15,85.00
23,Income,2024-06-16,350.00
25,Expense,2024-06-17,95.00
24,Expense,2024-06-18,40.00
26,Income,2024-06-19,270.00
25,Expense,2024-06-20,50.00
27,Expense,2024-06-21,25.00
26,Income,2024-06-22,200.00
28,Expense,2024-06-23,60.00
27,Expense,2024-06-24,35.00
29,Income,2024-06-25,150.00
28,Expense,2024-06-26,70.00
30,Expense,2024-06-27,45.00
29,Income,2024-06-28,300.00
31,Expense,2024-06-29,80.00
30,Expense,2024-06-30,15.00
32,Income,2024-07-01,400.00
31,Expense,2024-07-02,90.00
33,Expense,2024-07-03,65.00
32,Income,2024-07-04,220.00
34,Expense,2024-07-05,10.00
33,Expense,2024-07-06,85.00
35,Income,2024-07-07,350.00
34,Expense,2024-07-08,95.00
36,Expense,2024-07-09,40.00
35,Income,2024-07-10,270.00
37,Expense,2024-07-11,50.00
36,Expense,2024-07-12,25.00
38,Income,2024-07-13,200.00
37,Expense,2024-07-14,60.00
39,Expense,2024-07-15,35.00
38,Income,2024-07-16,150.00
40,Expense,2024-07-17,70.00
39,Expense,2024-07-18,45.00
41,Income,2024-07-19,300.00
40,Expense,2024-07-20,80.00
42,Expense,2024-07-21,15.00
41,Income,2024-07-22,400.00
43,Expense,2024-07-23,90.00
42,Expense,2024-07-24,65.00
44,Income,2024-07-25,220.00
43,Expense,2024-07-26,10.00
45,Expense,2024-07-27,85.00
44,Income,2024-07-28,350.00
46,Expense,2024-07-29,95.00
45,Expense,2024-07-30,40.00
47,Income,2024-07-31,270.00
46,Expense,2024-08-01,50.00
48,Expense,2024-08-02,25.00
47,Income,2024-08-03,200.00
49,Expense,2024-08-04,60.00
48,Expense,2024-08-05,35.00
50,Income,2024-08-06,150.00
49,Expense,2024-08-07,70.00
51,Expense,2024-08-08,45.00
50,Income,2024-08-09,300.00
52,Expense,2024-08-10,80.00
51,Expense,2024-08-11,15.00
53,Income,2024-08-12,400.00
